,source,target,edge,weight,bio,articles
0,Ahr,Th2 cells,expressed,0.097,1.0,undefined
1,Aryl hydrocarbon receptor 1a,Th2 cells,expressed,0.097,1.0,undefined
2,camp cyclic adenosine monophosphate,Th2 cells,expressed,0.097,1.0,undefined
3,adenosine monophosphate,Th2 cells,expressed,0.097,1.0,undefined
4,PTGDR2,Th2 cells,expressed,0.097,1.0,undefined
5,"cAMP-specific 3’,5’-cyclic phosphodiesterase 4",proinflammatory,was_associated,0.097,1.0,undefined
6,"cAMP-specific 3’,5’-cyclic phosphodiesterase 4",IL2,was_associated,0.097,1.0,undefined
7,"cAMP-specific 3’,5’-cyclic phosphodiesterase 4",Interleukin-5,was_associated,0.097,1.0,undefined
8,"cAMP-specific 3’,5’-cyclic phosphodiesterase 4",interleukin-8,was_associated,0.097,1.0,undefined
9,"cAMP-specific 3’,5’-cyclic phosphodiesterase 4",interleukin 12,was_associated,0.097,1.0,undefined
10,"cAMP-specific 3’,5’-cyclic phosphodiesterase 4",Interleukin-22,was_associated,0.097,1.0,undefined
11,ad,ad,been_associated,0.992,1.0,undefined
12,atopic dermatitis,ad,revealed,0.097,1.0,undefined
13,eczema,ad,revealed,0.097,1.0,undefined
14,health,health,affected,0.097,1.0,undefined
15,ad,health,affected,0.29,1.0,undefined
16,staphylococcus aureus,Alzheimer disease type 1,has_been_found_to_colonize,0.097,0.583,undefined
17,staphylococcus aureus,POU class 2 homeobox 3,has_been_found_to_colonize,0.097,0.583,undefined
18,staphylococcus aureus,Human,has_been_found_to_colonize,0.097,0.583,undefined
19,atopic disorders,food allergies,including,0.097,0.25,undefined
20,atopic disorders,asthma,including,0.097,0.25,undefined
21,atopic disorders,allergic rhinitis,including,0.097,0.25,undefined
22,Hypothetical protein ECUMN_2087,Hypothetical protein ECUMN_2087,aged,0.097,0.25,undefined
23,ad,food allergy,included,0.29,0.25,undefined
24,ad,asthma,included,0.29,0.25,undefined
25,ad,food allergy,including,0.29,0.25,undefined
26,ad,mental health disorders,including,0.097,0.25,undefined
27,ad,health,including,0.29,0.25,undefined
28,ad,asthma,including,0.29,0.25,undefined
29,ad,allergic rhinitis,including,0.097,0.25,undefined
30,Sxl,Alzheimer disease type 1,has,0.097,0.25,undefined
31,Filaggrin,Alzheimer disease type 1,has,0.097,0.25,undefined
32,skin barrier dysfunction,Alzheimer disease type 1,has,0.097,0.25,undefined
33,POU class 2 homeobox 3,bacteria,plays,0.097,0.25,undefined
34,POU class 2 homeobox 3,POU class 2 homeobox 3,plays,0.242,0.25,undefined
35,ad,Alzheimer disease type 1,feeling,0.613,0.25,undefined
36,Alzheimer disease type 1,Cycle,can_create,0.097,0.25,undefined
37,Human,pruritus,include,0.194,0.25,undefined
38,Human,eczema,include,0.097,0.25,undefined
39,ad,pruritus,include,0.29,0.25,undefined
40,ad,eczema,include,0.194,0.25,undefined
41,ad,hydrocortisone,including,0.097,0.25,undefined
42,ad,triamcinolone acetonide,including,0.097,0.25,undefined
43,Calcineurin A1 Dmel_CG1455,ad,needed,0.097,0.25,undefined
44,"cAMP-specific 3’,5’-cyclic phosphodiesterase 4",ad,needed,0.097,0.25,undefined
45,tci,ad,needed,0.097,0.25,undefined
46,crisaborole,ad,needed,0.242,0.25,undefined
47,Human,tcs,include_adding,0.097,0.25,undefined
48,Human,LXN,include_adding,0.097,0.25,undefined
49,Human,crisaborole,include_adding,0.097,0.25,undefined
50,Human,ad,have,0.645,0.25,undefined
51,dupilumab,eczema,aged,0.121,0.25,undefined
52,Human,ad,should_be_referred,0.645,0.25,undefined
53,ad,health,can_yield,0.29,0.25,undefined
54,dupilumab,Human,have_included,0.097,0.25,undefined
55,sleep disturbances,Human,appear_to_have,0.097,0.225,undefined
56,ad,ad,occurs,0.992,0.2,undefined
57,ad,Alzheimer disease type 1,serve_to_inform,0.613,0.2,undefined
58,ad,biomarker,is_impacted,0.194,0.2,undefined
59,Human,ad,presented,0.645,0.2,undefined
60,Alzheimer disease type 1,POU class 2 homeobox 3,appears_to_be_driven,0.194,0.2,undefined
61,ad,autism,has_become,0.097,0.2,undefined
62,Human,pruritus,can_be_traced,0.194,0.2,undefined
63,ad,Alzheimer disease type 1,reported,0.613,0.2,undefined
64,Alzheimer disease type 1,POU class 2 homeobox 3,studied,0.194,0.2,undefined
65,ad,sleep disturbances,noted,0.194,0.2,undefined
66,Human,POU class 2 homeobox 3,are_employing,0.145,0.2,undefined
67,nemolizumab,pruritus,being_developed_to_treat,0.121,0.2,undefined
68,IL31RA,pruritus,being_developed_to_treat,0.121,0.2,undefined
69,monoclonal antibody,pruritus,being_developed_to_treat,0.121,0.2,undefined
70,Alzheimer disease type 1,health,has_been_shown_to_be,0.097,0.2,undefined
71,Alzheimer disease type 1,Human,has_been_shown_to_be,0.194,0.2,undefined
72,ad,Human,treating,0.589,0.2,undefined
73,Th22,Interleukin-22,cytokine,0.097,0.167,undefined
74,Th22,Thymic stromal lymphopoietin,cytokine,0.097,0.167,undefined
75,PDE4A,inflammatory,been_identified,0.097,0.167,undefined
76,PDE4A,gamma delta T cell,been_identified,0.097,0.167,undefined
77,Phosphodiesterase,inflammatory,been_identified,0.097,0.167,undefined
78,Phosphodiesterase,gamma delta T cell,been_identified,0.097,0.167,undefined
79,Tnfrsf10b,ad,observed,0.097,0.167,undefined
80,Tnfrsf10b,Human,observed,0.097,0.167,undefined
81,nk,ad,observed,0.097,0.167,undefined
82,nk,Human,observed,0.097,0.167,undefined
83,natural killer,ad,observed,0.097,0.167,undefined
84,natural killer,Human,observed,0.097,0.167,undefined
85,sleep disturbances,sleep deprivation,been_identified,0.097,0.167,undefined
86,pruritus,sleep deprivation,been_identified,0.097,0.167,undefined
